# SYNTHETIC. Palm census. NO table in the 138-table EPMS schema can hold an infected palm, and the only proxy in the export - grading deductions - is degenerate at 0.25% mean. This entire domain is invented. Ganoderma is generated as decaying foci rather than scattered at random, because that is how basal stem rot actually spreads and a random map would be obviously false.
round,census_date,division_code,block_code,palms_planted,palms_inspected,coverage_pct,ganoderma_confirmed,ganoderma_suspect,beetle_damaged,rat_damaged,palms_felled
R1,2024-11-15,7,311,4913,3921,79.8,65,116,18,39,24
R2,2025-02-15,7,311,4913,3166,64.5,59,123,16,32,22
R3,2025-05-15,7,311,4913,3828,77.9,81,114,22,38,32
R1,2024-11-15,7,328,3040,2397,78.9,44,83,25,8,2
R2,2025-02-15,7,328,3040,2013,66.2,42,84,24,6,7
R3,2025-05-15,7,328,3040,2917,96.0,68,125,39,10,5
R1,2024-11-15,7,329,2563,2418,94.4,76,107,24,6,21
R2,2025-02-15,7,329,2563,2086,81.4,75,122,24,5,11
R3,2025-05-15,7,329,2563,2090,81.6,84,143,27,5,11
R1,2024-11-15,7,330,2487,1831,73.6,52,103,18,10,0
R2,2025-02-15,7,330,2487,2326,93.5,76,148,26,13,12
R3,2025-05-15,7,330,2487,1741,70.0,64,118,22,10,16
R1,2024-11-15,7,331,3002,2425,80.8,97,175,17,0,7
R2,2025-02-15,7,331,3002,2205,73.5,101,162,18,0,10
R3,2025-05-15,7,331,3002,2358,78.6,121,170,22,0,37
R1,2024-11-15,7,332,3084,2093,67.9,85,162,6,2,16
R2,2025-02-15,7,332,3084,2479,80.4,115,173,8,3,26
R3,2025-05-15,7,332,3084,2004,65.0,105,147,7,2,1
R1,2024-11-15,7,333,3012,2716,90.2,108,167,19,18,37
R2,2025-02-15,7,333,3012,2746,91.2,125,230,22,18,54
R3,2025-05-15,7,333,3012,2063,68.5,105,211,19,14,26
R1,2024-11-15,7,334,3671,2974,81.0,156,292,28,25,19
R2,2025-02-15,7,334,3671,3012,82.0,180,259,33,26,42
R3,2025-05-15,7,334,3671,3070,83.6,207,413,38,26,34
R1,2024-11-15,7,335,3592,3152,87.8,109,160,41,32,28
R2,2025-02-15,7,335,3592,2341,65.2,92,150,35,23,35
R3,2025-05-15,7,335,3592,3091,86.1,137,253,51,31,22
R1,2024-11-15,7,336,3594,2297,63.9,72,132,17,21,22
R2,2025-02-15,7,336,3594,3397,94.5,122,207,30,32,5
R3,2025-05-15,7,336,3594,2665,74.2,107,164,26,25,17
R1,2024-11-15,7,337,3824,3419,89.4,128,211,57,32,47
R2,2025-02-15,7,337,3824,3411,89.2,145,205,65,31,34
R3,2025-05-15,7,337,3824,3498,91.5,167,324,74,32,45
R1,2024-11-15,7,338,3211,2425,75.6,124,249,31,6,19
R2,2025-02-15,7,338,3211,2537,79.0,148,304,37,6,19
R3,2025-05-15,7,338,3211,2511,78.2,164,304,41,6,70
R1,2024-11-15,7,339,3998,3310,82.8,184,259,55,7,18
R2,2025-02-15,7,339,3998,2619,65.5,166,309,49,6,53
R3,2025-05-15,7,339,3998,3191,79.8,227,364,68,7,43
R1,2024-11-15,7,340,4199,3759,89.5,249,357,48,25,27
R2,2025-02-15,7,340,4199,3404,81.1,257,477,49,23,65
R3,2025-05-15,7,340,4199,3967,94.5,337,598,64,27,50
R1,2024-11-15,7,341,4316,3910,90.6,259,375,24,27,83
R2,2025-02-15,7,341,4316,3573,82.8,270,462,25,24,80
R3,2025-05-15,7,341,4316,3839,89.0,326,614,30,26,4
R1,2024-11-15,7,342,4108,2668,65.0,178,297,29,30,79
R2,2025-02-15,7,342,4108,3395,82.6,258,515,42,38,97
R3,2025-05-15,7,342,4108,3746,91.2,320,528,52,42,17
R1,2024-11-15,7,343,3763,2586,68.7,167,241,30,19,74
R2,2025-02-15,7,343,3763,2766,73.5,203,374,37,21,0
R3,2025-05-15,7,343,3763,3077,81.8,254,522,46,23,17
R1,2024-11-15,7,344,3336,3084,92.5,139,272,42,28,15
R2,2025-02-15,7,344,3336,2876,86.2,147,263,44,26,15
R3,2025-05-15,7,344,3336,3187,95.6,184,371,55,29,79
R1,2024-11-15,7,345,3793,2369,62.5,39,76,31,24,5
R2,2025-02-15,7,345,3793,3268,86.2,61,103,49,33,11
R3,2025-05-15,7,345,3793,2519,66.4,53,103,42,25,2
R1,2024-11-15,7,346,3374,2668,79.1,60,91,19,26,2
R2,2025-02-15,7,346,3374,2293,68.0,59,96,19,22,12
R3,2025-05-15,7,346,3374,2477,73.4,72,137,23,24,14
R1,2024-11-15,7,347,4257,3950,92.8,109,180,27,61,39
R2,2025-02-15,7,347,4257,2692,63.2,85,177,21,42,15
R3,2025-05-15,7,347,4257,4039,94.9,143,211,36,63,26
R1,2024-11-15,7,348,4086,3840,94.0,153,220,48,27,54
R2,2025-02-15,7,348,4086,3064,75.0,139,216,44,21,19
R3,2025-05-15,7,348,4086,3344,81.8,170,299,54,23,17
